name,year,domestic_gross,mojo_id,imdb_id
Spider-Man,2002.0,403706375.0,rl678659585,tt0145487
Star Wars: Episode II - Attack of the Clones,2002.0,302191252.0,rl2809366017,tt0121765
Harry Potter and the Chamber of Secrets,2002.0,261988482.0,rl1433110017,tt0295297
Signs,2002.0,227966634.0,rl1685161473,tt0286106
My Big Fat Greek Wedding,2002.0,241438208.0,rl342132225,tt0259446
The Lord of the Rings: The Two Towers,2002.0,339789881.0,rl4032923137,tt0167261
Austin Powers in Goldmember,2002.0,213307889.0,rl944080385,tt0295178
Men in Black II,2002.0,190418803.0,rl1281525249,tt0120912
Ice Age,2002.0,176387405.0,rl3277358593,tt0268380
A Beautiful Mind,2002.0,170742341.0,rl21399041,tt0268978
Scooby-Doo,2002.0,153294164.0,rl3631187457,tt0267913
The Lord of the Rings: The Fellowship of the Ring,2002.0,313364114.0,rl4200695297,tt0120737
Die Another Day,2002.0,160942139.0,rl2974778881,tt0246460
Lilo & Stitch,2002.0,145794338.0,rl3898508801,tt0275847
xXx,2002.0,142109382.0,rl1450870273,tt0295701
The Santa Clause 2,2002.0,139236327.0,rl1097827841,tt0304669
Minority Report,2002.0,132072926.0,rl4200760833,tt0181689
The Ring,2002.0,129128133.0,rl476874241,tt0298130
Mr. Deeds,2002.0,126293452.0,rl2540013057,tt0280590
Sweet Home Alabama,2002.0,127223418.0,rl846562817,tt0256415
The Bourne Identity,2002.0,121661683.0,rl2286323201,tt0258463
The Sum of All Fears,2002.0,118907036.0,rl2675082753,tt0164184
8 Mile,2002.0,116750901.0,rl3326182913,tt0298203
Black Hawk Down,2002.0,108638745.0,rl3678897665,tt0265086
Road to Perdition,2002.0,104454762.0,rl1668056577,tt0257044
Panic Room,2002.0,96397334.0,rl3077146113,tt0258000
Red Dragon,2002.0,93149898.0,rl1819117057,tt0289765
The Scorpion King,2002.0,91047077.0,rl3731850753,tt0277296
Spy Kids 2: Island of Lost Dreams,2002.0,85846429.0,rl1920173569,tt0287717
Blade II,2002.0,82348319.0,rl2152171009,tt0187738
Snow Dogs,2002.0,81172560.0,rl91260417,tt0281373
We Were Soldiers,2002.0,78122718.0,rl2339931649,tt0277434
Barbershop,2002.0,75782105.0,rl4182083073,tt0303714
The Rookie,2002.0,75600072.0,rl2204927489,tt0265662
Spirit: Stallion of the Cimarron,2002.0,73280117.0,rl410224129,tt0166813
John Q,2002.0,71756802.0,rl1683850753,tt0251160
Divine Secrets of the Ya-Ya Sisterhood,2002.0,69599016.0,rl3847194113,tt0279778
Insomnia,2002.0,67355513.0,rl3294332417,tt0278504
Changing Lanes,2002.0,66818548.0,rl1011582465,tt0264472
